pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
108,0,0.0,0.0,118439,745,661,1.67,-1.19,0
109,0,0.0,0.0,118552,739,668,-2.03,3.6,0
224,0,0.0,0.0,118665,745,663,1.72,0.12,0
224,0,0.0,0.0,118780,744,670,2.04,5.53,0
518,0,0.0,0.0,118893,741,669,-1.28,3.04,0
518,0,0.0,0.0,119006,743,666,2.14,1.36,0
722,0,0.0,0.0,119119,747,665,3.88,0.54,0
927,0,0.0,0.0,119232,745,659,2.41,-3.39,0
928,0,0.0,0.0,119345,742,665,-1.33,0.9,0
1135,0,0.0,0.0,119458,736,661,-5.43,-0.76,0
1135,0,0.0,0.0,119571,737,658,-2.56,-4.42,0
1337,0,0.0,0.0,119684,744,667,3.1,2.25,0
1337,0,0.0,0.0,119798,741,664,-0.33,0.74,0
1403,0,0.0,0.0,119911,740,665,-0.72,1.05,0
1647,0,0.0,0.0,120024,746,661,3.18,-2.2,0
1647,0,0.0,0.0,120137,744,667,2.64,3.34,0
1702,0,0.0,0.0,120255,739,667,-1.51,3.04,0
1852,0,0.0,0.0,120369,739,661,-0.65,-1.78,0
2156,0,0.0,0.0,120483,750,661,5.8,-0.79,0
