pc_time_ms,ecg,bpm,leadOff,ts
99,2138,0,0,12524
100,2173,0,0,12534
100,2230,0,0,12544
101,2327,0,0,12554
101,2314,0,0,12564
101,2320,0,0,12574
101,2383,0,0,12584
101,2338,0,0,12594
102,2229,0,0,12604
102,2307,0,0,12614
102,2277,0,0,12624
102,2226,0,0,12634
102,2301,0,0,12644
103,2240,0,0,12654
103,2363,0,0,12664
103,2295,0,0,12674
103,2199,0,0,12684
103,2215,0,0,12694
103,2114,0,0,12704
103,2095,0,0,12714
104,2096,0,0,12724
155,2147,0,0,12734
155,2196,0,0,12744
155,2163,0,0,12754
156,2154,0,0,12764
156,2192,0,0,12774
304,2176,0,0,12784
309,2086,0,0,12794
310,2147,0,0,12804
310,2106,0,0,12814
310,2064,0,0,12824
310,2023,0,0,12834
311,2000,0,0,12844
311,1982,0,0,12854
332,1840,0,0,12864
333,1750,0,0,12874
333,1703,0,0,12884
333,1783,0,0,12894
333,1713,0,0,12904
333,1763,0,0,12914
334,1717,0,0,12924
359,1797,0,0,12934
359,1872,0,0,12944
359,1802,0,0,12954
359,1866,0,0,12964
360,1771,0,0,12974
360,1888,0,0,12984
507,1953,0,0,12994
507,1847,0,0,13004
508,1799,0,0,13014
508,1920,0,0,13024
508,1761,0,0,13034
508,1810,0,0,13044
508,1759,0,0,13054
508,1737,0,0,13064
508,1671,0,0,13074
509,1696,0,0,13084
509,1712,0,0,13094
509,1692,0,0,13104
509,1723,0,0,13114
509,1635,0,0,13124
509,1963,0,0,13134
560,2717,0,0,13144
560,3739,0,0,13154
561,1933,0,0,13164
561,1375,0,0,13174
561,1931,0,0,13184
712,1812,0,0,13194
713,1774,0,0,13204
713,1775,0,0,13214
713,1761,0,0,13224
713,1748,0,0,13234
713,1749,0,0,13244
714,1746,0,0,13254
714,1714,0,0,13264
714,1648,0,0,13274
714,1676,0,0,13284
714,1659,0,0,13294
714,1664,0,0,13304
715,1649,0,0,13314
715,1653,0,0,13324
715,1594,0,0,13334
761,1701,0,0,13344
762,1762,0,0,13354
762,1750,0,0,13364
762,1777,0,0,13374
762,1749,0,0,13384
917,1776,0,0,13394
917,1723,0,0,13404
917,1723,0,0,13414
917,1712,0,0,13424
918,1647,0,0,13434
918,1605,0,0,13444
918,1584,0,0,13454
918,1457,0,0,13464
918,1376,0,0,13474
918,1360,0,0,13484
919,1327,0,0,13494
919,1351,0,0,13504
919,1354,0,0,13514
919,1307,0,0,13524
919,1335,0,0,13534
920,1387,0,0,13544
965,1419,0,0,13554
966,1455,0,0,13564
966,1455,0,0,13574
966,1458,0,0,13584
967,1402,0,0,13594
1120,1515,0,0,13604
1120,1456,0,0,13614
1120,1465,0,0,13624
1121,1428,0,0,13634
1121,1525,0,0,13644
1121,1507,0,0,13654
1122,1470,0,0,13664
1122,1507,0,0,13674
1122,1457,0,0,13684
1122,1478,0,0,13694
1122,1503,0,0,13704
1122,1443,0,0,13714
1123,1471,0,0,13724
1123,1456,0,0,13734
1123,1489,0,0,13744
1326,1520,0,0,13754
1327,1702,0,0,13764
1327,1621,0,0,13774
1327,1614,0,0,13784
1327,1626,0,0,13794
1327,1558,0,0,13804
1328,1490,0,0,13814
1328,1485,0,0,13824
1328,1489,0,0,13834
1328,1455,0,0,13844
1328,1466,0,0,13854
1328,1569,0,0,13864
1328,1584,0,0,13874
1329,1605,0,0,13884
1329,1535,0,0,13894
1329,1857,0,0,13904
1329,2443,0,0,13914
1329,3312,0,0,13924
1329,1830,0,0,13934
1329,1115,0,0,13944
1330,1792,0,0,13954
1531,1730,0,0,13964
1531,1770,0,0,13974
1532,1771,0,0,13984
1532,1851,0,0,13994
1532,1969,0,0,14004
1532,2016,0,0,14014
1533,2220,0,0,14024
1533,2182,0,0,14034
1533,2282,0,0,14044
1534,2394,0,0,14054
1534,2473,0,0,14064
1534,2498,0,0,14074
1534,2559,0,0,14084
1534,2487,0,0,14094
1534,2222,0,0,14104
1535,1981,0,0,14114
1535,1612,0,0,14124
1535,1390,0,0,14134
1535,1011,0,0,14144
1535,601,0,0,14154
1735,201,0,0,14164
1736,0,0,0,14174
1736,0,0,0,14184
1736,0,0,0,14194
1737,0,0,0,14204
1737,0,0,0,14214
1737,0,0,0,14224
1737,0,0,0,14234
1738,0,0,0,14244
1738,0,0,0,14254
1738,0,0,0,14264
1738,0,0,0,14274
1738,0,0,0,14284
1738,0,0,0,14294
1739,0,0,0,14304
1739,0,0,0,14314
1739,0,0,0,14324
1739,0,0,0,14334
1739,0,0,0,14344
1739,0,0,0,14354
1740,0,0,0,14364
1792,0,0,0,14374
1792,0,0,0,14384
1792,0,0,0,14394
1793,0,0,0,14404
1793,0,0,0,14414
1940,0,0,0,14424
1940,0,0,0,14434
1940,0,0,0,14444
1940,0,0,0,14454
1940,18,0,0,14464
1941,131,0,0,14474
1941,115,0,0,14484
1941,205,0,0,14494
1941,176,0,0,14504
1941,218,0,0,14514
1941,271,0,0,14524
1941,363,0,0,14534
1942,368,0,0,14544
1942,485,0,0,14554
1942,523,0,0,14564
2021,747,0,0,14574
2034,830,0,0,14584
2035,798,0,0,14594
2035,925,0,0,14604
2036,914,0,0,14614
2036,953,0,0,14624
2145,1023,0,0,14634
2145,1041,0,0,14644
2145,1143,0,0,14654
2146,1179,0,0,14664
2146,1291,0,0,14674
2146,1303,0,0,14684
2146,1372,0,0,14694
2146,1323,0,0,14704
2147,1430,0,0,14714
2147,1933,0,0,14724
2147,2655,0,0,14734
2147,3098,0,0,14744
2147,999,0,0,14754
2147,1627,0,0,14764
2350,1794,0,0,14774
2350,1813,0,0,14784
2351,1893,0,0,14794
2352,1925,0,0,14804
2353,1998,0,0,14814
2353,2045,0,0,14824
2353,2143,0,0,14834
2354,2137,0,0,14844
2354,2133,0,0,14854
2354,2128,0,0,14864
2354,2226,0,0,14874
2354,2265,0,0,14884
2355,2332,0,0,14894
2355,2426,0,0,14904
2355,2425,0,0,14914
2356,2532,0,0,14924
2356,2559,0,0,14934
2357,2598,0,0,14944
2357,2674,0,0,14954
2357,2726,0,0,14964
2357,2735,0,0,14974
2396,2867,0,0,14984
2396,2970,0,0,14994
2397,2912,0,0,15004
2397,3015,0,0,15014
2397,2943,0,0,15024
2450,2949,0,0,15034
2450,2907,0,0,15044
2450,2931,0,0,15054
2450,2909,0,0,15064
2451,3005,0,0,15074
2499,3001,0,0,15084
2499,3036,0,0,15094
2500,3099,0,0,15104
2500,3106,0,0,15114
2500,3120,0,0,15124
2554,3209,0,0,15134
2559,3255,0,0,15144
2560,3301,0,0,15154
2560,3310,0,0,15164
2560,3356,0,0,15174
2605,3356,0,0,15184
2606,3366,0,0,15194
2606,3408,0,0,15204
2606,3423,0,0,15214
2606,3348,0,0,15224
2659,3547,0,0,15234
2659,3446,0,0,15244
2659,3551,0,0,15254
2659,3530,0,0,15264
2660,3453,0,0,15274
2660,3535,0,0,15284
2759,3570,0,0,15294
2759,3600,0,0,15304
2760,3650,0,0,15314
2760,3557,0,0,15324
2760,3502,0,0,15334
2760,3619,0,0,15344
2761,3607,0,0,15354
2761,3379,0,0,15364
2761,3471,0,0,15374
2761,3472,0,0,15384
